question,grade,mj,im,tag,a1,difficulty,style,type,exp
이차방정식 $x^2+\frac{1}{2}=\frac{1}{2} x+1$ 의 해를 인수분해를 이용하여 구하면?,10,방정식과 부등식,,N10_2_2_1,$x=-\frac{1}{2}$ 또는 $x=1$,0,주관식,쌍둥이,"$x^2+\frac{1}{2}=\frac{1}{2} x+1$ 에서 $x^2-\frac{1}{2} x-\frac{1}{2}=0$

양변에 $2$ 를 곱하면 $2 x^2-x-1=0$, $(2 x+1)(x-1)=0$
$therefore\,\, x=-\frac{1}{2}$ 또는 $x=1$"
이차방정식 $x^2+\frac{5}{2} x-6=0$ 의 해를 인수분해를 이용하여 구하면?,10,방정식과 부등식,,N10_2_2_1,x=-4$ 또는 $x=\frac{3}{2}$,1,주관식,쌍둥이,"$x^2+\frac{5}{2} x-6=0$ 의 양변에 2 를 곱하면 $2 x^2+5 x-12=0, \quad(2 x-3)(x+4)=0$ $\therefore x=-4$ 또는 $x=\frac{3}{2}$"
"다음 중 이차방정식의 근을 잘못 구한 것은?

이차방정식
(1) $x^2-3 x-1=0$
(2) $2 x^2+5 x+4=0$
(3) $3 x^2-4 x+2=0$ $x=\frac{2 \pm \sqrt{2}}{3}$
(4) $9 x^2+6 x+5=0 \quad x=\frac{-1 \pm 2 i}{3}$",10,방정식과 부등식,,N10_2_2_2,,0,주관식,쌍둥이,(3) $3 x^2-4 x+2=0$ 에서 근의 공식에 의하여 $x=\frac{-(-2) \pm \sqrt{(-2)^2-3 \times 2}}{3}$ $=\frac{2 \pm \sqrt{4-6}}{3}=\frac{2 \pm \sqrt{-2}}{3}=\frac{2 \pm \sqrt{2} i}{3}$
"다음 중 이차방정식의 근을 잘못 구한 것은?

이차방정식
(1) $\quad x^2+3 x+4=0 \quad x=\frac{-3 \pm \sqrt{7} i}{2}$
(2) $x^2+3 x+1=0 \quad x=\frac{-3 \pm \sqrt{5}}{2}$
(3) $x^2-8 x+28=0 \quad x=2 \pm \sqrt{3} i$
(4) $3 x^2-5 x+5=0 \quad x=\frac{5 \pm \sqrt{35} i}{6}$",10,방정식과 부등식,,N10_2_2_2,,1,주관식,쌍둥이,(3) $x^2-8 x+28=0$ 에서 근의 공식에 의하여 $x=\frac{-(-4) \pm \sqrt{(-4)^2-1 \times 28}}{1}$ $=4 \pm \sqrt{16-28}=4 \pm \sqrt{-12}=4 \pm 2 \sqrt{3} i$
"이차방정식 $x^2+2 k x+k+2=0$ 의 한 근이 -1 일 때, 다른 한 근은? (단, $k$ 는 상수이다.)",10,방정식과 부등식,,N10_2_2_3,,0,주관식,쌍둥이,"이차방정식 $x^2+2 k x+k+2=0$ 의 한 근이 -1 이므로 $x=-1$ 을 주어진 이차방정식에 대입하면

$
\begin{array}{l}
(-1)^2+2 \times k \times(-1)+k+2=0 \\
\therefore k=3
\end{array}
$

$k=3$ 을 주어진 이차방정식에 대입하면

$
\begin{array}{l}
x^2+6 x+5=0 \\
(x+1)(x+5)=0
\end{array}
$$


$
\therefore x=-1 \text { 또는 } x=-5
$


따라서 다른 한 근은 -5 이다."
"이차방정식 $k x^2+(2 k+3) x+k^2-3 k+6=0$ 의 한 근이 -2 일 때, 다른 한 근은? (단, $k$ 는 상수이다.)",10,방정식과 부등식,,N10_2_2_3,,1,주관식,쌍둥이,"$k x^2+(2 k+3) x+k^2-3 k+6=0$ 이 이차방정식이므로

$$
k \neq 0
$$


이 이차방정식의 한 근이 -2 이므로

$$
\begin{array}{l}
k \times(-2)^2+(2 k+3) \times(-2)+k^2-3 k+6=0 \\
k^2-3 k=0, \quad k(k-3)=0 \\
\therefore k=0 \text { 또는 } k=3 \quad \cdots \cdots \text { (ㄴ) }
\end{array}
$$

(ㄱ), (ㄴ)에서 $k=3$
$k=3$ 을 $k x^2+(2 k+3) x+k^2-3 k+6=0$ 에 대입하면

$$
3 x^2+9 x+6=0
$$


$$
3(x+1)(x+2)=0
$$


$$
\therefore x=-1 \text { 또는 } x=-2
$$


따라서 다른 한 근은 -1 이다."
방정식 $x^2+|2 x-1|-2=0$ 의 모든 근의 합은?,10,방정식과 부등식,,N10_2_2_4,,0,주관식,쌍둥이,"절댓값 기호 안의 식 $2 x-1$ 을 0 으로 하는 $x$ 의 값 $x=\frac{1}{2}$ 을 기준으로 구간을 나누면 $x<\frac{1}{2}, x \geq \frac{1}{2}$
(i) $x<\frac{1}{2}$ 일 때

$$
\begin{array}{l}
x^2-(2 x-1)-2=0 \\
\therefore x^2-2 x-1=0
\end{array}
$$


근의 공식에 의해 $x=1 \pm \sqrt{2}$
그런데 $x<\frac{1}{2}$ 이므로 $x=1-\sqrt{2}$"
방정식 $x^2-2|x-2|-7=0$ 의 모든 근의 합은?,10,방정식과 부등식,,N10_2_2_4,,1,주관식,쌍둥이,"$$
x^2-2|x-2|-7=0 \text { 에서 }
$$

(i) $x \geq 2$ 일 때

$$
\begin{array}{l}
x^2-2(x-2)-7=0, x^2-2 x-3=0 \\
(x+1)(x-3)=0 \\
\therefore x=-1 \text { 또는 } x=3
\end{array}
$$


그런데 $x \geq 2$ 이므로 $x=3$
(ii) $x<2$ 일 때

$$
\begin{array}{l}
x^2+2(x-2)-7=0, x^2+2 x-11=0 \\
\therefore x=\frac{-1 \pm \sqrt{1^2-1 \times(-11)}}{1} \\
\quad=-1 \pm 2 \sqrt{3}
\end{array}
$$


그런데 $x<2$ 이므로 $x=-1-2 \sqrt{3}$
(i), (ii)에 의하여 주어진 방정식의 해는 $x=-1-2 \sqrt{3}$ 또는 $x=3$
따라서 모든 근의 합은 $2-2 \sqrt{3}$"
이차방정식 $x^2-2(k+2) x+k^2+2 k+3=0$ 이 허근을 갖도록 하는 정수 $k$ 의 최댓값은?,10,방정식과 부등식,,N10_2_2_5,,0,주관식,쌍둥이,"$x^2-2(k+2) x+k^2+2 k+3=0$ 의 판별식을 $D$ 라 하면

$$
\begin{array}{l}
\frac{D}{4}=\{-(k+2)\}^2-\left(k^2+2 k+3\right)=2 k+1<0 \\
\therefore k<-\frac{1}{2}
\end{array}
$$


따라서 정수 $k$ 의 최댓값은 -1 이다."
이차방정식 $x^2+2(k+2) x+k^2-5=0$ 이 서로 다른 두 실근을 갖도록 하는 가장 작은 정수 $k$ 의 값은?,10,방정식과 부등식,,N10_2_2_5,,1,주관식,쌍둥이,"이차방정식 $x^2+2(k+2) x+k^2-5=0$ 의 판별식을 $D$ 라 하면

$$
\begin{array}{l}
\frac{D}{4}=(k+2)^2-\left(k^2-5\right)>0 \\
k^2+4 k+4-k^2+5>0 \\
4 k+9>0 \\
\therefore k>-\frac{9}{4}
\end{array}
$$


따라서 가장 작은 정수 $k$ 의 값은 -2 이다."
"$x$ 에 대한 이차방정식 $x^2+a x+b^2-2=0$ 이 중근을 가질 때, 이차방정식 $x^2-a x+2 b-9=0$ 의 근을 판별하면?",10,방정식과 부등식,,N10_2_2_6,,0,주관식,쌍둥이,"이차방정식 $x^2+a x+b^2-2=0$ 의 판별식을 $D_1$ 이라 하면

$$
\begin{array}{l}
D_1=a^2-4\left(b^2-2\right)=0 \\
\therefore a^2=4 b^2-8
\end{array}
$$


이차방정식 $x^2-a x+2 b-9=0$ 의 판별식을 $D_2$ 라 하면

$$
\begin{aligned}
D_2 & =(-a)^2-4(2 b-9) \\
& =4 b^2-8-8 b+36 \\
& =4 b^2-8 b+28 \\
& =4(b-1)^2+24>0
\end{aligned}
$$


따라서 이차방정식 $x^2+2 a x+2 b-9=0$ 은 서로 다른 두 실근을 갖는다."
